CLASE SINIESTRO,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,ZONA,TIPO DE VÍA,RED VIAL,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,MTC_RVN_LONGITUD_KM,MTC_RVN_N_CARRILES_MEDIANA,MTC_RVN_SUPERFICIE_DOMINANTE,MTC_RVN_ESTADO_DOMINANTE,MTC_RVN_ES_CONCESIONADA,MTC_RVN_CONCESION_PRINCIPAL,MTC_RVN_CORREDOR_LOGISTICO,MTC_RVN_N_TRAMOS,IDH_2019,IDH_ESP_VIDA_2019,IDH_EDUC_SECUND_PCT_2019,IDH_ANIOS_EDUC_2019,IDH_INGRESO_PERCAP_2019,IDH_POBLACION_2019,MTC_DEP_RED_TOTAL_KM,MTC_DEP_NACIONAL_TOTAL_KM,MTC_DEP_DEPARTAMENTAL_TOTAL_KM,MTC_DEP_VECINAL_TOTAL_KM,MTC_DEP_PAV_TOTAL_KM,MTC_DEP_NO_PAV_TOTAL_KM,MTC_DEP_PCT_PAVIMENTADA,CATEGORIA_SEVERIDAD,CATEGORIA_SEVERIDAD_ENC
3,0,14,2,2,4,-12.173039,-76.995706,0,0,7,1,2,2,2,2,2021,1,2,0,20,2,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.7583553928164398,79.82595632107274,76.7651270103073,11.46351379457763,1662.7771470294065,333655.3618843683,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,GRAVE_MORTALIDAD,1
6,1,7,0,4,2,-12.58222,-72.39343,0,4,0,0,2,2,2,0,2021,1,3,0,12,3,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.3224274496902619,73.65891617421137,66.5279854491578,5.808947591818988,270.08697278161645,17387.97858672377,17779.13499998999,2097.3709999899997,2863.123,12818.640999999989,2878.713,14900.421999989989,16.19152450331032,LEVE,2
0,1,1,0,4,1,-9.004006503532352,-78.61846985128324,0,4,7,1,2,2,2,4,2021,1,3,0,19,2,2,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5751416396314166,79.13313360862875,61.07686741629993,7.835804203082414,1055.1585250692096,20995.070663811563,10767.648,1885.0630000000003,1222.721,7659.864000000001,2100.343,8667.305000000002,19.506051832303577,LEVE,2
3,1,10,2,4,1,-14.11280351736792,-75.71768884490805,0,3,7,1,2,2,2,2,2021,1,4,0,5,0,0,6639.975,2.0,2,0,1.0,9,31,1616.0,0.6017391761868336,78.042802452235,72.28583389723312,10.31007692281154,958.0333772224832,5487.43897216274,3721.461,698.1859999999996,744.866,2278.409,1102.9029999999996,2618.558,29.636290693359403,LEVE,2
3,2,20,2,2,4,-15.511687,-70.125365,2,0,1,1,2,1,0,2,2021,1,4,0,20,2,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.5759734352119,73.55929462493827,78.89306383943827,10.174966342239475,888.1716010638444,232834.39603082248,13642.312999999998,2020.7790000000005,2354.117,9267.416999999998,3314.0520000000006,10328.260999999997,24.29244952817019,LEVE,2
3,2,3,0,4,1,-15.296713,-74.915512,0,4,7,1,2,2,2,0,2021,1,5,1,6,1,0,6639.975,2.0,2,0,1.0,9,31,1616.0,0.5140293355498681,82.11897853059659,54.01885147561242,9.200693902288776,697.8064626086847,1477.7837259100645,10322.272,1495.236,1749.739,7077.2970000000005,2886.595,7435.677000000001,27.964725207783708,GRAVE_MORTALIDAD,1
3,2,7,0,4,2,-14.255447,-72.051308,0,4,7,1,2,2,2,0,2021,1,5,1,8,1,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.3582063239468129,73.72125513625039,50.68912238545782,4.370934077592676,495.5648271945098,7210.27408993576,17779.13499998999,2097.3709999899997,2863.123,12818.640999999989,2878.713,14900.421999989989,16.19152450331032,LEVE,2
6,0,14,2,2,4,-11.980617,-77.012747,0,0,7,1,2,2,2,6,2021,1,5,1,10,1,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.701053025277506,79.62867561460851,73.1469484600971,10.064317505194426,1464.6926161541437,1150285.0494171206,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
6,1,13,0,4,2,-6.821616,-79.855199,0,4,7,1,2,2,2,0,2021,1,5,1,15,3,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.5698121065713132,80.7750211042815,73.24532007426484,9.611369875155264,807.8835749369007,96903.36830835116,3459.691,515.0619999999999,689.7280000000001,2254.901,703.3549999999999,2756.336,20.329994788551925,LEVE,2
3,2,14,0,4,1,-10.658884060554785,-77.6526383087629,7,4,0,1,2,0,1,2,2021,1,5,1,16,3,0,1031.172,-1.0,1,0,0.0,9,32,405.0,0.6089995249782627,83.27989923505345,68.21266463461673,7.753898352965485,1106.793700553604,19807.916488222698,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,GRAVE_LESIONADOS,0
