CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,CATEGORIA_SEVERIDAD,MORTALIDAD_MULTIPLE,LESION_MULTIPLE
DESPISTE,1,4,1,HUANCAVELICA,CHURCAMPA,ANCO,RURAL,CARRETERA,NACIONAL,PE-3SD,-12.587590070770132,-74.53707680692503,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,1,0,13,TARDE,SIERRA,GRAVE_LESIONADOS,0,1
DESPISTE,1,0,1,CUSCO,ANTA,ANTA,RURAL,CARRETERA,DEPARTAMENTAL,CU-111,-13.4060204727485,-72.1426750383443,DESPEJADO,RURAL,SINUOSA,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2025,3,2,0,1,MADRUGADA,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,LIMA,LIMA,EL AGUSTINO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.040832278089836,-76.99993175157562,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,2,0,17,TARDE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,CAJAMARCA,CHOTA,CHOTA,URBANA,CARRETERA,NACIONAL,PE-3N,-6.59148013939563,-78.6188185749098,DESPEJADO,COMERCIAL,CURVA,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2025,3,3,0,9,MAÑANA,SIERRA,LEVE,0,0
CHOQUE,1,0,1,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,NACIONAL,PE-1N,-12.028359849290275,-77.0580586479381,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,3,0,10,MAÑANA,COSTA,LEVE,0,0
DESPISTE,1,1,1,TUMBES,ZARUMILLA,ZARUMILLA,RURAL,CARRETERA,NACIONAL,PE-1N,-3.5104858612606664,-80.2920878172581,SOLEADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2025,3,3,0,14,TARDE,COSTA,LEVE,0,0
DESPISTE,1,0,2,CUSCO,CUSCO,SAN JERONIMO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-13.55423907,-71.86605377,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2025,3,4,0,6,MAÑANA,SIERRA,LEVE,0,0
DESPISTE,1,0,1,ANCASH,HUARI,HUANTAR,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,-9.45129615653413,-77.1551288258612,LLUVIOSO,RURAL,PASE A DESNIVEL,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,INFRAESTRUCTURA Y ENTORNO VIAL,SUPERFICIE DETERIORADA,2025,3,4,0,14,TARDE,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,CAJAMARCA,CAJAMARCA,CAJAMARCA,RURAL,CARRETERA,NACIONAL,PE-3N,-7.126104,-78.523655,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2025,3,5,1,18,NOCHE,SIERRA,LEVE,0,0
CHOQUE FUGA,1,0,1,CAJAMARCA,JAEN,BELLAVISTA,RURAL,CARRETERA,NACIONAL,PE-5N,-5.635768,-78.750505,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2025,3,6,1,6,MAÑANA,SIERRA,LEVE,0,0
