CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,CATEGORIA_SEVERIDAD,MORTALIDAD_MULTIPLE,LESION_MULTIPLE
CHOQUE,1,0,0,PUNO,PUNO,VILQUE,RURAL,CARRETERA,DEPARTAMENTAL,PU-122,-15.7820572,-70.22156406,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,2021,6,1,0,18,NOCHE,SIERRA,LEVE,0,0
ATROPELLO,1,0,0,LIMA,LIMA,LURIN,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.25702,-76.88783,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,1,0,21,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,4,2,AYACUCHO,HUAMANGA,OCROS,RURAL,CARRETERA,NACIONAL,PE-3S,-13.40222,-73.904601,DESPEJADO,RURAL,OTRO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,1,0,23,NOCHE,SIERRA,GRAVE_LESIONADOS,0,1
DESPISTE,1,1,0,LIMA,LIMA,LOS OLIVOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.986489,-77.072359,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,2,0,0,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,1,0,3,TUMBES,TUMBES,CORRALES,RURAL,CARRETERA,NACIONAL,PE-1N,-3.5857820643741536,-80.47399562260193,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE CARROCERÍA,2021,6,2,0,7,MAÑANA,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,1,LIMA,LIMA,ATE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0251552,-76.9204075,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,6,2,0,14,TARDE,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,0,LIMA,LIMA,LIMA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.060343,-77.0083172,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,CONCRETO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,2,0,15,TARDE,COSTA,LEVE,0,0
CHOQUE,1,1,2,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,SIN_DATO,CARRETERA,NACIONAL,PE-1N,-6.6813219,-79.9039121,DESPEJADO,INDUSTRIAL,ÓVALO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),REGULADORA (R),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,2,0,17,TARDE,COSTA,LEVE,0,0
DESPISTE,1,0,1,ANCASH,RECUAY,COTAPARACO,RURAL,CARRETERA,PROVINCIAL,AN-1229,-9.968398244619364,-77.52915705967843,DESPEJADO,RURAL,CURVA,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO,2021,6,2,0,18,NOCHE,SIERRA,LEVE,0,0
ATROPELLO,1,0,2,JUNIN,JAUJA,MUQUI,URBANA,CARRETERA,NACIONAL,PE-3SB,-11.82927446,-75.44316147,DESPEJADO,RURAL,OTRO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,2,0,18,NOCHE,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,CUSCO,PAUCARTAMBO,KOSÑIPATA,RURAL,CARRETERA,DEPARTAMENTAL,CU-113,-12.909693556407934,-71.40412218989076,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,2,0,18,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,0,1,LORETO,MAYNAS,SAN JUAN BAUTISTA,RURAL,CARRETERA,DEPARTAMENTAL,LO-103,-3.899723047888033,-73.35048787087666,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,2,0,19,NOCHE,SELVA,LEVE,0,0
ATROPELLO FUGA,1,0,0,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,RURAL,CARRETERA,NACIONAL,PE-18A,-9.431958843446022,-75.96656942106995,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,REGULADORA (R),SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,2,0,23,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,1,2,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,RURAL,CARRETERA,NACIONAL,PE-5N,-9.18857425256514,-75.9226630949866,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,3,0,7,MAÑANA,SIERRA,LEVE,0,0
CHOQUE,1,0,2,LA LIBERTAD,ASCOPE,PAIJAN,RURAL,CARRETERA,NACIONAL,PE-1N,-7.678769635511184,-79.32439874352757,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,2021,6,3,0,9,MAÑANA,COSTA,LEVE,0,0
CHOQUE,3,6,2,LA LIBERTAD,TRUJILLO,MOCHE,URBANA,CARRETERA,NACIONAL,PE-1N,-8.14565,-79.012371,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,6,3,0,13,TARDE,COSTA,GRAVE_MORTALIDAD,1,1
DESPISTE,1,0,1,HUANUCO,HUANUCO,PILLCO MARCA,URBANA,CARRETERA,NACIONAL,PE-3N,-9.980643,-76.244816,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,6,3,0,13,TARDE,SIERRA,LEVE,0,0
ATROPELLO,1,0,0,PUNO,AZANGARO,ASILLO,RURAL,CARRETERA,NACIONAL,PE-34B,-14.674477,-70.366127,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,2021,6,3,0,17,TARDE,SIERRA,LEVE,0,0
CHOQUE,1,0,0,LIMA,LIMA,ATE,URBANA,CALLE,URBANO,NO CORRESPONDE,-12.037300048041462,-76.93201594492336,NUBLADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,3,0,18,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,0,2,ICA,ICA,PARCONA,URBANA,CARRETERA,NACIONAL,PE-1SC,-14.056365,-75.708581,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,3,0,19,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,AREQUIPA,AREQUIPA,CERRO COLORADO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-16.3274423,-71.5556384,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,NO DAR PASO PREFERENTE AL PEATÓN,2021,6,3,0,19,NOCHE,COSTA,LEVE,0,0
CHOQUE,2,1,1,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,RURAL,CARRETERA,NACIONAL,PE-30C,-12.6597346510363,-69.3203245597664,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,3,0,21,NOCHE,SELVA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,0,1,CALLAO,CALLAO,VENTANILLA,URBANA,CARRETERA,NACIONAL,PE-20,-11.873062591288354,-77.12711328495267,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,NO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,6,4,0,5,MADRUGADA,COSTA,LEVE,0,0
DESPISTE,2,2,1,CUSCO,QUISPICANCHI,CAMANTI,RURAL,CARRETERA,NACIONAL,PE-3S,-13.18691557,-70.51575479,LLUVIOSO,RURAL,CURVA,INCLINADA,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,4,0,9,MAÑANA,SIERRA,GRAVE_MORTALIDAD,1,0
DESPISTE,1,0,1,ANCASH,SANTA,NEPEÑA,RURAL,CARRETERA,DEPARTAMENTAL,AN-104,-9.190111729951582,-78.35678506898871,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,4,0,9,MAÑANA,SIERRA,LEVE,0,0
ATROPELLO FUGA,1,0,0,LIMA,LIMA,RIMAC,URBANA,CARRETERA,NACIONAL,PE-1N,-12.04274739463909,-77.02300806760132,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,4,0,12,TARDE,COSTA,LEVE,0,0
CHOQUE,1,0,0,PUNO,HUANCANE,PUSI,RURAL,CARRETERA,DEPARTAMENTAL,PU-113,-15.385754937821613,-70.08964322148354,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,6,4,0,14,TARDE,SIERRA,LEVE,0,0
DESPISTE,1,1,1,PIURA,MORROPON,SANTO DOMINGO,RURAL,CARRETERA,PROVINCIAL,PI-708,-5.03497243912157,-79.8578266567617,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,4,0,15,TARDE,COSTA,LEVE,0,0
DESPISTE,3,2,1,CUSCO,CANAS,CHECCA,RURAL,CARRETERA,PROVINCIAL,CU-1810,-14.492229,-71.460864,DESPEJADO,RURAL,CURVA,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,4,0,17,TARDE,SIERRA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,1,2,LA LIBERTAD,TRUJILLO,LAREDO,RURAL,CARRETERA,NACIONAL,PE-10A,-8.096285,-78.962737,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO,2021,6,4,0,23,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,LAMBAYEQUE,CHICLAYO,PIMENTEL,URBANA,CARRETERA,NACIONAL,PE-1N,-6.752748818246737,-79.86678567443747,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,6,5,1,22,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,0,2,SAN MARTIN,SAN MARTIN,MORALES,URBANA,CARRETERA,NACIONAL,PE-5N,-6.49826,-76.39229,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,6,6,1,2,MADRUGADA,SELVA,LEVE,0,0
ATROPELLO FUGA,1,0,1,MADRE DE DIOS,TAMBOPATA,INAMBARI,RURAL,CARRETERA,NACIONAL,PE-30C,-12.8771848139546,-70.0402617188448,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,6,1,3,MADRUGADA,SELVA,LEVE,0,0
DESPISTE,1,0,1,ICA,ICA,PARCONA,URBANA,CARRETERA,NACIONAL,PE-1SC,-14.0611623,-75.7207144,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,6,1,3,MADRUGADA,COSTA,LEVE,0,0
ATROPELLO,1,1,2,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,URBANA,CARRETERA,NACIONAL,PE-5N,-5.979007,-77.288573,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,REGULADORA (R),INFORMATIVA (I),NO,IMPRUDENCIA DEL PEATÓN,USO DE DISPOSITIVOS MÓVILES Y/O ELECTRÓNICOS,2021,6,6,1,3,MADRUGADA,SELVA,LEVE,0,0
CHOQUE,1,1,2,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,RURAL,CARRETERA,PROVINCIAL,AR-548,-16.57889943703677,-72.71130139837734,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,6,1,6,MAÑANA,COSTA,LEVE,0,0
VOLCADURA,1,0,2,PUNO,SAN ROMAN,JULIACA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-15.500896,-70.130469,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,CONCRETO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,6,1,7,MAÑANA,SIERRA,LEVE,0,0
DESPISTE,2,2,1,AREQUIPA,AREQUIPA,CERRO COLORADO,URBANA,CARRETERA,DEPARTAMENTAL,AR-123,-16.3665336,-71.6378436,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,6,1,14,TARDE,COSTA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,1,2,ICA,ICA,LOS AQUIJES,RURAL,AVENIDA,URBANO,NO CORRESPONDE,-14.102249467716202,-75.68214878831114,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,6,1,14,TARDE,COSTA,LEVE,0,0
DESPISTE,1,0,1,AREQUIPA,CARAVELI,JAQUI,RURAL,CARRETERA,PROVINCIAL,AR-514,-15.4486459358603,-74.4027313767021,DESPEJADO,RURAL,SINUOSA,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,6,1,16,TARDE,COSTA,LEVE,0,0
CHOQUE,1,0,2,LA LIBERTAD,GRAN CHIMU,CASCAS,RURAL,CARRETERA,DEPARTAMENTAL,LI-106,-7.557302,-78.720412,DESPEJADO,RURAL,CURVA,PLANA ,AFIRMADO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,2021,6,6,1,16,TARDE,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,1,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20B,-11.99989364,-77.118705716,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,6,6,1,17,TARDE,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,1,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20B,-11.999880281798202,-77.118723779655,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,6,1,20,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,1,2,TUMBES,TUMBES,CORRALES,RURAL,CARRETERA,NACIONAL,PE-1N,-3.583833236874771,-80.47256820971259,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,6,6,1,20,NOCHE,COSTA,LEVE,0,0
DESPISTE,1,1,1,CUSCO,ANTA,HUAROCONDO,RURAL,CARRETERA,PROVINCIAL,CU-902,-13.427364,-72.218355,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,6,0,0,4,MADRUGADA,SIERRA,LEVE,0,0
CHOQUE,1,1,2,PIURA,PIURA,CASTILLA,URBANA,CARRETERA,NACIONAL,PE-1NJ,-5.231254,-80.635399,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,INFORMATIVA (I),REGULADORA (R),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,5,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,2,0,2,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,RURAL,CARRETERA,NACIONAL,PE-1NJ,-6.0373276,-79.677065,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,5,MADRUGADA,COSTA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,2,0,LIMA,LIMA,COMAS,URBANA,CARRETERA,NACIONAL,PE-1N,-11.924998397515166,-77.07287307237524,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,9,MAÑANA,COSTA,LEVE,0,0
DESPISTE,1,0,1,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,RURAL,CARRETERA,DEPARTAMENTAL,PA-102,-10.497169232550563,-76.51338069190625,NUBLADO,RURAL,CURVA,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,6,0,0,10,MAÑANA,SIERRA,LEVE,0,0
DESPISTE,1,1,1,HUANCAVELICA,TAYACAJA,AHUAYCHA,RURAL,CARRETERA,NACIONAL,PE-3SD,-12.39026,-74.89023,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,12,TARDE,SIERRA,LEVE,0,0
ATROPELLO FUGA,1,0,0,LIMA,LIMA,EL AGUSTINO,URBANA,CARRETERA,NACIONAL,PE-1N,-12.032365258669795,-77.00653383140924,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,20,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,0,2,PIURA,PIURA,CASTILLA,URBANA,CARRETERA,NACIONAL,PE-1NJ,-5.211506667,-80.62212667,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,22,NOCHE,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,1,CAJAMARCA,SAN PABLO,SAN BERNARDINO,RURAL,CARRETERA,PROVINCIAL,CA-1302,-7.2127688642193135,-78.76543875887974,DESPEJADO,RURAL,CURVA,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,6,0,0,22,NOCHE,SIERRA,LEVE,0,0
ATROPELLO,1,0,0,LIMA,LIMA,BREÑA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.068456129021952,-77.04824710442705,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,0,0,23,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,0,2,PUNO,SAN ANTONIO DE PUTINA,PUTINA,RURAL,CARRETERA,NACIONAL,PE-34H,-14.944266577912035,-69.86740881756783,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO,2021,6,1,0,8,MAÑANA,SIERRA,LEVE,0,0
ATROPELLO FUGA,1,0,0,LIMA,LIMA,SANTA ANITA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.033213,-76.942706,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,1,0,8,MAÑANA,COSTA,LEVE,0,0
DESPISTE,3,0,1,PUNO,YUNGUYO,CUTURAPI,RURAL,CARRETERA,DEPARTAMENTAL,PU-130,-16.2697722970827,-69.1968094724791,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,6,1,0,11,MAÑANA,SIERRA,GRAVE_MORTALIDAD,1,0
DESPISTE,1,3,1,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,RURAL,CARRETERA,NACIONAL,PE-3N,-7.883144,-78.118494,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,6,1,0,17,TARDE,COSTA,GRAVE_LESIONADOS,0,1
ATROPELLO FUGA,1,0,0,TACNA,TACNA,LA YARADA LOS PALOS,RURAL,CARRETERA,PROVINCIAL,TA-644,-18.236664,-70.368142,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,6,1,0,22,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,6,2,HUANCAVELICA,HUANCAVELICA,ACORIA,RURAL,CARRETERA,NACIONAL,PE-3SM,-12.531054,-74.922456,DESPEJADO,RURAL,SINUOSA,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,6,2,0,6,MAÑANA,SIERRA,GRAVE_LESIONADOS,0,1
